Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:05:50.103,00:05:48.00,1,30,29,0:05:50  ,0:05:48  ,0:05:03  ,170.671875,184.0,161.60096885651703,153.0,165.0,--,77
2,00:00:07.59,00:00:03.00,0.02,--,--,0:06:57  ,0:02:57  ,0:05:27  ,175.671875,178.0,131.750861871577,165.0,165.0,--,1
3,00:01:02.143,00:00:47.00,0.04,--,--,0:27:48  ,0:21:01  ,0:05:27  ,55.171875,178.0,104.98328419684621,153.0,167.0,--,14
4,00:05:51.553,00:05:50.00,1,53,45,0:05:51  ,0:05:50  ,0:05:03  ,170.71875,186.0,160.89024255655266,161.0,177.0,--,83
5,00:00:07.692,00:00:05.00,0.02,--,--,0:06:14  ,0:04:03  ,0:05:52  ,177.421875,182.0,145.2156331845551,153.0,153.0,--,1
6,00:01:08.181,00:00:39.00,0.04,--,--,0:29:56  ,0:17:07  ,0:05:52  ,74.234375,182.0,72.41907195274713,148.0,156.0,--,14
7,00:03:18.217,00:03:16.00,0.62,--,37,0:05:19  ,0:05:15  ,0:04:51  ,176.46875,190.0,171.44520807739596,169.0,176.0,--,49
8,00:03:39.992,00:02:39.00,0.2,30,--,0:18:24  ,0:13:18  ,0:05:13  ,73.15625,179.0,119.55791681770111,144.0,176.0,--,41
9,00:03:17.605,00:03:17.00,0.62,--,28,0:05:20  ,0:05:19  ,0:04:49  ,178.140625,188.0,169.0991570151038,165.0,178.0,--,46
10,00:03:22.948,00:02:39.00,0.21,24,--,0:16:26  ,0:12:52  ,0:05:15  ,104.53125,184.0,93.70046687965014,148.0,177.0,--,39
11,00:03:19.747,00:03:17.00,0.62,30,45,0:05:22  ,0:05:18  ,0:04:51  ,179.09375,189.0,167.17040438574543,164.0,179.0,--,44
12,00:03:45.213,00:03:45.00,0.41,13,17,0:09:07  ,0:09:07  ,0:05:05  ,140.75,185.0,125.24413541346841,159.0,177.0,--,52
13,00:01:08.542,00:01:06.00,0.24,--,--,0:04:48  ,0:04:37  ,0:04:21  ,184.765625,199.0,181.0867660912194,170.0,183.0,--,17
14,00:03:47.08,00:01:18.00,0.12,--,--,0:31:47  ,0:10:55  ,0:04:40  ,48.84375,194.0,103.69120498502457,143.0,184.0,--,34
15,00:01:06.585,00:01:05.00,0.24,--,--,0:04:39  ,0:04:32  ,0:04:06  ,186.484375,207.0,185.50765336878925,163.0,180.0,--,13
16,00:03:33.376,00:01:33.00,0.14,--,--,0:26:15  ,0:11:26  ,0:04:27  ,54.5,204.0,112.51877785876484,146.0,183.0,--,36
17,00:01:07.102,00:01:02.00,0.24,--,--,0:04:43  ,0:04:21  ,0:04:10  ,178.953125,208.0,190.53618885223833,164.0,182.0,--,13
18,00:03:34.387,00:01:22.00,0.16,--,3,0:22:19  ,0:08:32  ,0:04:22  ,70.71875,208.0,101.98414990498044,128.0,183.0,--,21
19,00:01:03.632,00:01:02.00,0.24,--,--,0:04:27  ,0:04:20  ,0:04:14  ,192.0,215.0,188.0834383496135,177.0,201.0,--,15
20,00:13:03.477,00:02:30.00,0.24,--,--,0:55:12  ,0:10:34  ,0:04:15  ,21.09375,225.0,138.16745829464264,125.0,209.0,--,56
21,00:00:04.725,00:00:02.00,0.01,--,--,0:07:16  ,0:03:04  ,0:13:57  ,165.5,168.0,133.58269945855886,135.0,138.0,--,0
Summary,01:03:19.287,00:43:05.00,6.4,180,203,0:09:54  ,0:06:44  ,0:04:06  ,107.984375,225.0,150.60310943873668,148.0,209.0,--,666
