Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:03:42.700,00:03:38.00,0.64,--,36,0:05:49  ,0:05:41  ,0:05:08  ,174.3125,190.0,158.68409454708168,161.0,204.0,--,53
2,00:01:03.685,00:00:30.00,0.04,12,--,0:25:33  ,0:12:02  ,0:05:33  ,65.953125,175.0,95.52346129456704,106.0,141.0,--,8
3,00:00:37.22,00:00:35.00,0.12,--,--,0:05:10  ,0:04:53  ,0:04:25  ,187.96875,206.0,165.5242793460908,116.0,133.0,--,4
4,00:02:05.59,00:00:17.00,0.05,13,--,0:42:47  ,0:05:48  ,0:05:06  ,25.328125,197.0,148.62147363432047,87.0,134.0,--,8
5,00:00:31.906,00:00:28.00,0.12,--,--,0:04:24  ,0:03:52  ,0:03:50  ,134.25,200.0,271.94408512720554,120.0,157.0,--,3
6,00:02:05.638,00:01:31.00,0.16,22,12,0:13:10  ,0:09:32  ,0:03:58  ,128.515625,195.0,95.11443108889884,147.0,166.0,--,28
7,00:03:41.228,00:03:34.00,0.64,--,31,0:05:46  ,0:05:35  ,0:05:04  ,171.3125,185.0,162.49295212865223,147.0,158.0,--,48
8,00:00:58.819,00:00:27.00,0.04,--,--,0:25:30  ,0:11:42  ,0:05:03  ,64.9375,177.0,97.2049451503545,124.0,147.0,--,9
9,00:00:36.494,00:00:33.00,0.12,17,--,0:05:16  ,0:04:45  ,0:04:30  ,158.671875,197.0,192.55095026260182,131.0,151.0,--,5
10,00:02:03.365,00:01:20.00,0.07,--,--,0:28:49  ,0:18:41  ,0:04:56  ,72.171875,196.0,77.41689040509435,119.0,155.0,--,15
11,00:00:33.133,00:00:27.00,0.12,--,--,0:04:27  ,0:03:38  ,0:03:58  ,165.421875,202.0,218.10925956948793,147.0,166.0,--,5
12,00:02:05.156,00:01:39.00,0.15,--,--,0:13:31  ,0:10:42  ,0:04:08  ,141.109375,190.0,84.30590261390218,137.0,168.0,--,23
13,00:03:44.578,00:03:44.00,0.63,16,35,0:05:56  ,0:05:55  ,0:05:21  ,169.6875,180.0,159.55198979074314,137.0,148.0,--,41
14,00:01:00.672,00:00:55.00,0.05,--,--,0:21:57  ,0:19:54  ,0:06:03  ,51.609375,177.0,142.08410544359054,101.0,125.0,--,3
15,00:00:36.455,00:00:35.00,0.12,11,--,0:05:05  ,0:04:53  ,0:04:26  ,162.484375,202.0,194.60549033750863,135.0,172.0,--,4
16,00:02:01.709,00:00:28.00,0.06,11,--,0:34:47  ,0:08:00  ,0:04:57  ,36.515625,179.0,126.70218051127766,139.0,174.0,--,23
17,00:00:33.288,00:00:33.00,0.12,--,--,0:04:31  ,0:04:28  ,0:04:03  ,164.96875,197.0,216.0292171689946,151.0,165.0,--,7
18,00:02:00.999,00:01:53.00,0.15,22,12,0:13:16  ,0:12:24  ,0:04:16  ,120.234375,190.0,100.78332847529255,160.0,172.0,--,29
19,00:03:42.226,00:03:40.00,0.62,--,33,0:05:59  ,0:05:55  ,0:05:19  ,169.65625,182.0,158.54743482356696,187.0,196.0,--,66
20,00:00:59.57,00:00:27.00,0.04,--,--,0:28:03  ,0:12:49  ,0:06:05  ,55.53125,175.0,103.2776570824459,184.0,190.0,--,17
21,00:00:35.689,00:00:32.00,0.12,20,--,0:04:48  ,0:04:18  ,0:03:58  ,167.328125,199.0,200.35255171476533,192.0,201.0,--,10
22,00:02:00.510,00:00:35.00,0.06,--,--,0:33:14  ,0:09:39  ,0:04:47  ,63.9375,192.0,75.7601302506639,181.0,201.0,--,33
23,00:00:32.768,00:00:31.00,0.12,--,--,0:04:27  ,0:04:13  ,0:03:47  ,175.25,198.0,205.9035341154964,180.0,189.0,--,9
24,00:02:01.844,00:01:27.00,0.15,--,--,0:13:32  ,0:09:40  ,0:04:14  ,105.203125,194.0,112.95664521542199,189.0,200.0,--,36
25,00:03:34.371,00:03:29.00,0.62,20,41,0:05:44  ,0:05:35  ,0:05:05  ,170.015625,184.0,164.85898781214667,203.0,209.0,--,65
26,00:01:02.81,00:00:42.00,0.04,--,--,0:25:10  ,0:17:01  ,0:05:58  ,69.84375,189.0,91.60579704245623,190.0,200.0,--,18
27,00:00:31.795,00:00:30.00,0.12,13,--,0:04:34  ,0:04:19  ,0:04:11  ,175.3125,204.0,200.55755647411212,191.0,197.0,--,9
28,00:02:01.379,00:00:39.00,0.07,11,--,0:28:34  ,0:09:11  ,0:04:12  ,77.0625,204.0,73.08070153356826,166.0,197.0,--,29
29,00:00:28.191,00:00:26.00,0.12,--,--,0:03:51  ,0:03:33  ,0:03:23  ,0.0,0.0,--,169.0,193.0,--,6
30,00:00:48.528,00:00:06.00,0.03,--,16,0:25:18  ,0:03:07  ,0:03:32  ,32.78125,157.0,194.01454828574646,173.0,194.0,--,13
Summary,00:48:20.345,00:36:11.00,5.51,189,215,0:08:46  ,0:06:34  ,0:03:23  ,123.734375,206.0,148.29082589282984,155.0,209.0,--,627
