Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:03:41.648,00:03:38.00,0.63,16,16,0:05:51  ,0:05:46  ,0:05:19  ,0.0,0.0,--,--,--,79.7123287671233,67
2,00:01:34.522,00:01:20.00,0.04,0,3,0:35:15  ,0:29:49  ,0:05:22  ,0.0,0.0,--,--,--,77.08372093023256,4
3,00:00:33.846,00:00:30.00,0.13,3,0,0:04:29  ,0:03:58  ,0:04:03  ,0.0,0.0,--,--,--,77.0,11
4,00:02:13.626,00:00:53.00,0.04,0,0,0:51:35  ,0:20:27  ,0:04:28  ,0.0,0.0,--,--,--,77.0,4
5,00:00:34.592,00:00:33.00,0.13,0,0,0:04:19  ,0:04:07  ,0:03:59  ,0.0,0.0,--,--,--,77.0,11
6,00:02:05.696,00:01:06.00,0.05,0,0,0:43:41  ,0:22:56  ,0:04:11  ,0.0,0.0,--,--,--,77.0,6
7,00:03:33.877,00:03:33.00,0.63,16,13,0:05:37  ,0:05:35  ,0:04:54  ,0.0,0.0,--,--,--,75.36901408450704,73
8,00:01:04.742,00:01:03.00,0.03,0,0,0:30:54  ,0:30:04  ,0:05:42  ,0.0,0.0,--,--,--,73.4,3
9,00:00:35.936,00:00:32.00,0.12,0,0,0:04:52  ,0:04:20  ,0:04:21  ,0.0,0.0,--,--,--,73.90625,12
10,00:01:59.963,00:01:30.00,0.08,0,0,0:25:28  ,0:19:06  ,0:04:38  ,0.0,0.0,--,--,--,75.2,8
11,00:00:36.952,00:00:36.00,0.13,0,0,0:04:41  ,0:04:34  ,0:04:17  ,0.0,0.0,--,--,--,77.0,12
12,00:02:04.144,00:01:58.00,0.05,0,0,0:43:20  ,0:41:10  ,0:04:32  ,0.0,0.0,--,--,--,77.0,5
13,00:03:31.862,00:03:29.00,0.63,13,13,0:05:36  ,0:05:31  ,0:04:57  ,0.0,0.0,--,--,--,76.81913875598087,73
14,00:01:01.887,00:01:00.00,0.04,0,0,0:27:36  ,0:26:46  ,0:05:22  ,0.0,0.0,--,--,--,75.2,3
15,00:00:34.376,00:00:33.00,0.12,0,0,0:04:37  ,0:04:26  ,0:04:10  ,0.0,0.0,--,--,--,75.2,11
16,00:02:01.850,00:01:15.00,0.09,0,0,0:21:59  ,0:13:32  ,0:04:21  ,0.0,0.0,--,--,--,76.48041237113402,8
17,00:00:34.502,00:00:34.00,0.13,0,0,0:04:19  ,0:04:15  ,0:04:08  ,0.0,0.0,--,--,--,77.0,11
18,00:02:03.488,00:02:02.00,0.05,0,0,0:44:20  ,0:43:46  ,0:04:08  ,0.0,0.0,--,--,--,77.54590163934427,6
19,00:03:35.396,00:03:32.00,0.62,16,16,0:05:46  ,0:05:41  ,0:04:50  ,0.0,0.0,--,--,--,77.43301886792453,71
20,00:01:04.601,00:00:34.00,0.03,0,0,0:33:09  ,0:17:27  ,0:05:47  ,0.0,0.0,--,--,--,75.2,3
21,00:00:35.33,00:00:31.00,0.12,7,7,0:04:44  ,0:04:12  ,0:04:17  ,0.0,0.0,--,--,--,77.0,11
22,00:01:59.653,00:01:24.00,0.09,0,3,0:22:28  ,0:15:46  ,0:04:38  ,0.0,0.0,--,--,--,77.47368421052632,9
23,00:00:37.216,00:00:35.00,0.13,0,0,0:04:45  ,0:04:28  ,0:04:17  ,0.0,0.0,--,--,--,78.80000000000001,11
24,00:02:02.574,00:00:05.00,0.04,0,0,0:55:32  ,0:02:16  ,0:04:32  ,0.0,0.0,--,--,--,78.80000000000001,2
25,00:03:33.995,00:03:30.00,0.62,16,16,0:05:47  ,0:05:41  ,0:04:21  ,0.0,0.0,--,--,--,78.52571428571429,72
26,00:01:10.943,00:01:05.00,0.03,0,0,0:36:27  ,0:33:22  ,0:06:02  ,0.0,0.0,--,--,--,77.0,4
27,00:00:28.965,00:00:27.00,0.12,0,0,0:03:56  ,0:03:40  ,0:03:40  ,0.0,0.0,--,--,--,77.0,9
28,00:02:07.539,00:01:12.00,0.09,0,0,0:22:51  ,0:12:53  ,0:03:38  ,0.0,0.0,--,--,--,77.0,8
29,00:00:28.270,00:00:27.00,0.13,10,7,0:03:42  ,0:03:32  ,0:03:16  ,0.0,0.0,--,--,--,77.0,9
30,00:07:47.703,00:03:43.00,0.21,3,7,0:37:53  ,0:18:03  ,0:03:20  ,0.0,0.0,--,--,--,78.8179104477612,15
Summary,00:55:59.398,00:45:54.00,5.37,102,102,0:10:25  ,0:08:33  ,0:03:16  ,0.0,0.0,--,--,--,77.39922596010717,552
