Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:03:12.220,00:03:11.00,0.61,--,--,0:05:15  ,0:05:12  ,0:04:19  ,180.15625,203.0,170.20047053583812,138.0,152.0,--,38
2,00:03:23.811,00:02:20.00,0.25,3,--,0:13:36  ,0:09:20  ,0:05:18  ,118.546875,182.0,99.82716773344463,101.0,141.0,--,20
3,00:01:06.192,00:01:03.00,0.25,--,--,0:04:25  ,0:04:13  ,0:03:42  ,185.671875,213.0,195.6372201393385,133.0,180.0,--,10
4,00:03:14.680,00:01:55.00,0.2,--,4,0:16:19  ,0:09:38  ,0:04:24  ,102.5,198.0,96.19989711039601,133.0,179.0,--,36
5,00:00:32.915,00:00:31.00,0.12,--,--,0:04:29  ,0:04:13  ,0:03:48  ,136.578125,212.0,262.35750157307325,140.0,167.0,--,5
6,00:01:56.900,00:01:32.00,0.14,--,--,0:14:15  ,0:11:13  ,0:04:08  ,125.671875,195.0,89.83433620383273,162.0,170.0,--,28
7,00:03:22.276,00:03:21.00,0.63,3,--,0:05:21  ,0:05:19  ,0:04:40  ,177.265625,189.0,169.2944371825051,161.0,170.0,--,48
8,00:03:18.465,00:02:19.00,0.2,--,--,0:16:56  ,0:11:52  ,0:05:24  ,101.390625,178.0,93.69516715414659,109.0,157.0,--,16
9,00:01:07.607,00:01:04.00,0.25,--,--,0:04:34  ,0:04:19  ,0:03:59  ,184.625,204.0,190.4751559617355,146.0,168.0,--,12
10,00:03:27.347,00:01:52.00,0.17,--,5,0:19:54  ,0:10:45  ,0:04:12  ,79.359375,197.0,101.89652843332249,94.0,168.0,--,13
11,00:00:30.516,00:00:29.00,0.12,--,--,0:04:15  ,0:04:03  ,0:03:40  ,153.5,213.0,246.00966676471603,137.0,152.0,--,4
12,00:01:39.401,00:00:23.00,0.05,--,--,0:31:13  ,0:07:13  ,0:03:46  ,50.1875,211.0,102.72441352102707,125.0,154.0,--,14
13,00:03:22.744,00:03:16.00,0.62,--,--,0:05:28  ,0:05:17  ,0:04:30  ,174.796875,197.0,168.2569181661002,158.0,173.0,--,44
14,00:03:19.870,00:01:54.00,0.17,--,4,0:19:50  ,0:11:19  ,0:05:37  ,110.890625,182.0,73.1520176036858,147.0,164.0,--,41
15,00:01:00.810,00:00:59.00,0.24,--,--,0:04:08  ,0:04:01  ,0:03:33  ,190.5625,213.0,203.65019676376227,147.0,171.0,--,10
16,00:03:25.150,00:02:02.00,0.18,--,--,0:19:02  ,0:11:19  ,0:03:59  ,82.0,197.0,103.09173554542106,133.0,172.0,--,31
17,00:00:26.951,00:00:26.00,0.12,4,--,0:03:52  ,0:03:44  ,0:03:14  ,149.5625,255.0,277.90602206117427,155.0,175.0,--,5
18,00:07:28.159,00:00:30.00,0.1,--,--,1:13:06  ,0:04:53  ,0:03:26  ,13.703125,126.0,160.65971286738866,138.0,179.0,--,72
Summary,00:45:56.14,00:29:07.00,4.41,16,13,0:10:24  ,0:06:36  ,0:03:14  ,109.171875,255.0,141.54876808034615,134.0,180.0,--,447
