Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:00:34.337,00:00:32.00,0.12,--,--,0:04:51  ,0:04:31  ,0:04:02  ,152.0625,199.0,217.83937370598144,121.0,149.0,--,4
2,00:01:41.702,00:00:15.00,0.05,--,--,0:34:10  ,0:05:02  ,0:04:40  ,34.71875,190.0,135.66823335147015,126.0,151.0,--,17
3,00:01:09.392,00:01:05.00,0.24,--,--,0:04:48  ,0:04:30  ,0:03:57  ,180.078125,201.0,185.94459045129634,121.0,145.0,--,9
4,00:03:16.646,00:01:25.00,0.14,3,--,0:23:59  ,0:10:22  ,0:04:36  ,58.21875,194.0,115.19952995960338,103.0,145.0,--,20
5,00:01:43.708,00:01:43.00,0.37,--,--,0:04:40  ,0:04:38  ,0:03:52  ,188.359375,203.0,183.0097081579895,144.0,168.0,--,19
6,00:05:00.509,00:02:28.00,0.26,--,4,0:18:56  ,0:09:19  ,0:04:42  ,76.03125,192.0,111.76958926998428,129.0,170.0,--,49
7,00:01:06.740,00:01:03.00,0.24,--,--,0:04:38  ,0:04:23  ,0:04:07  ,178.03125,201.0,194.6926312222426,158.0,181.0,--,13
8,00:03:19.802,00:01:10.00,0.12,--,--,0:27:34  ,0:09:39  ,0:04:28  ,49.578125,201.0,117.75515414923558,112.0,181.0,--,22
9,00:00:32.57,00:00:26.00,0.12,--,--,0:04:26  ,0:03:36  ,0:04:03  ,165.5625,209.0,218.69312753973972,105.0,134.0,--,1
10,00:05:04.59,00:04:31.00,0.34,3,--,0:14:47  ,0:13:11  ,0:04:08  ,121.078125,200.0,89.87558868310406,135.0,172.0,--,49
11,00:00:32.884,00:00:31.00,0.12,--,--,0:04:29  ,0:04:14  ,0:03:53  ,178.703125,210.0,200.48759372207897,165.0,173.0,--,7
12,00:01:39.530,00:00:58.00,0.05,--,--,0:33:07  ,0:19:18  ,0:04:11  ,33.5625,191.0,144.7338855873416,131.0,174.0,--,15
13,00:01:05.771,00:01:04.00,0.24,--,--,0:04:32  ,0:04:25  ,0:03:50  ,192.421875,216.0,184.0376524369546,159.0,176.0,--,12
14,00:03:16.60,00:00:37.00,0.08,--,--,0:41:24  ,0:07:48  ,0:04:25  ,34.375,201.0,113.0904271852524,134.0,174.0,--,30
15,00:01:46.179,00:01:44.00,0.36,--,--,0:04:54  ,0:04:48  ,0:04:08  ,185.703125,208.0,176.5057370297332,165.0,185.0,--,23
16,00:05:02.690,00:00:46.00,0.09,--,3,0:56:43  ,0:08:37  ,0:04:48  ,23.984375,200.0,118.34986759785076,149.0,183.0,--,60
17,00:01:00.784,00:01:00.00,0.24,--,--,0:04:16  ,0:04:13  ,0:03:56  ,187.796875,217.0,200.43021984624932,178.0,195.0,--,15
18,00:03:48.309,00:01:49.00,0.18,--,--,0:21:22  ,0:10:12  ,0:04:01  ,81.5625,212.0,92.28710856690866,130.0,196.0,--,26
19,00:00:26.995,00:00:26.00,0.12,--,--,0:03:54  ,0:03:45  ,0:03:13  ,117.4375,226.0,351.2873247996056,155.0,183.0,--,3
20,00:10:08.501,00:02:22.00,0.17,--,--,0:59:37  ,0:13:55  ,0:03:32  ,10.796875,226.0,249.9943220028365,122.0,187.0,--,66
Summary,00:52:16.655,00:25:55.00,3.65,6,6,0:14:20  ,0:07:06  ,0:03:13  ,74.6875,226.0,150.21915128689685,132.0,196.0,--,460
