Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:00:32.834,00:00:30.00,0.12,7,3,0:04:39  ,0:04:15  ,0:03:57  ,0.0,0.0,--,--,--,59.0,11
2,00:01:46.992,00:01:44.00,0.04,0,3,0:43:46  ,0:42:31  ,0:04:35  ,0.0,0.0,--,--,--,59.0,5
3,00:01:07.987,00:01:07.00,0.25,3,0,0:04:34  ,0:04:30  ,0:04:10  ,0.0,0.0,--,--,--,58.516417910447764,24
4,00:03:25.738,00:03:13.00,0.17,0,0,0:20:38  ,0:19:21  ,0:04:29  ,0.0,0.0,--,--,--,55.85699481865285,17
5,00:01:42.381,00:01:41.00,0.37,13,3,0:04:38  ,0:04:34  ,0:04:11  ,0.0,0.0,--,--,--,55.07920792079208,36
6,00:05:05.831,00:02:40.00,0.2,0,7,0:25:04  ,0:13:07  ,0:04:36  ,0.0,0.0,--,--,--,53.6,14
7,00:01:07.914,00:01:05.00,0.25,3,7,0:04:35  ,0:04:23  ,0:04:10  ,0.0,0.0,--,--,--,53.6,24
8,00:03:20.547,00:02:19.00,0.16,0,0,0:21:23  ,0:14:49  ,0:04:27  ,0.0,0.0,--,--,--,51.82713567839196,14
9,00:00:33.328,00:00:32.00,0.13,0,0,0:04:23  ,0:04:13  ,0:04:03  ,0.0,0.0,--,--,--,51.8,11
10,00:04:25.217,00:04:17.00,0.23,0,3,0:19:22  ,0:18:45  ,0:04:16  ,0.0,0.0,--,--,--,50.85447470817121,25
11,00:00:33.935,00:00:30.00,0.12,7,3,0:04:41  ,0:04:09  ,0:03:50  ,0.0,0.0,--,--,--,50.0,10
12,00:01:36.664,00:01:01.00,0.04,3,3,0:38:32  ,0:24:20  ,0:04:28  ,0.0,0.0,--,--,--,50.0,4
13,00:01:07.380,00:01:05.00,0.24,0,0,0:04:35  ,0:04:25  ,0:03:58  ,0.0,0.0,--,--,--,50.0,23
14,00:03:21.374,00:02:01.00,0.16,3,3,0:20:32  ,0:12:20  ,0:04:25  ,0.0,0.0,--,--,--,49.254777070063696,16
15,00:01:43.400,00:01:43.00,0.38,0,0,0:04:35  ,0:04:34  ,0:04:03  ,0.0,0.0,--,--,--,48.2,37
16,00:05:01.971,00:04:54.00,0.19,0,3,0:27:10  ,0:26:28  ,0:04:36  ,0.0,0.0,--,--,--,49.5514950166113,22
17,00:01:04.840,00:01:04.00,0.25,7,3,0:04:18  ,0:04:14  ,0:03:59  ,0.0,0.0,--,--,--,49.8875,23
18,00:03:18.15,00:02:12.00,0.17,0,0,0:19:18  ,0:12:52  ,0:04:09  ,0.0,0.0,--,--,--,48.2,18
19,00:00:27.795,00:00:24.00,0.12,20,7,0:03:58  ,0:03:25  ,0:03:22  ,0.0,0.0,--,--,--,48.2,8
20,00:04:21.264,00:03:31.00,0.16,0,13,0:27:27  ,0:22:10  ,0:03:30  ,0.0,0.0,--,--,--,48.64813278008299,13
Summary,00:45:45.408,00:38:56.00,3.73,66,62,0:12:16  ,0:10:26  ,0:03:22  ,0.0,0.0,--,--,--,51.56205389657684,355
