Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:05:00.974,00:04:59.00,0.91,0,--,0:05:31  ,0:05:29  ,0:04:32  ,181.6875,193.0,160.3709676265413,137.0,171.0,--,59
2,00:05:00.264,00:02:29.00,0.22,24,--,0:22:50  ,0:11:19  ,0:05:29  ,69.984375,179.0,100.7310038600145,103.0,138.0,--,31
3,00:05:00.494,00:04:59.00,0.91,22,33,0:05:30  ,0:05:29  ,0:04:44  ,180.28125,195.0,161.91110182543613,148.0,160.0,--,65
4,00:04:59.134,00:02:08.00,0.19,19,10,0:26:01  ,0:11:08  ,0:05:36  ,76.90625,178.0,80.44677240285493,122.0,150.0,--,41
5,00:05:00.370,00:04:55.00,0.92,32,42,0:05:27  ,0:05:21  ,0:04:36  ,182.671875,196.0,161.36609061938455,143.0,154.0,--,60
6,00:04:59.863,00:01:52.00,0.18,21,8,0:27:22  ,0:10:13  ,0:05:35  ,69.9375,183.0,84.08486522468726,106.0,130.0,--,22
7,00:05:00.534,00:04:55.00,0.92,22,35,0:05:27  ,0:05:21  ,0:04:44  ,183.546875,196.0,160.48960805663845,160.0,178.0,--,70
8,00:05:08.526,00:04:30.00,0.39,21,35,0:13:14  ,0:11:35  ,0:05:36  ,139.921875,184.0,86.90016715094656,128.0,149.0,--,43
9,00:05:00.792,00:04:55.00,0.9,4,--,0:05:34  ,0:05:28  ,0:04:45  ,180.171875,202.0,160.22582963697607,166.0,173.0,--,74
10,00:04:35.149,00:01:58.00,0.13,--,--,0:35:20  ,0:15:09  ,0:05:36  ,26.09375,180.0,174.50108176427958,123.0,170.0,--,28
Summary,00:49:46.100,00:37:40.00,5.66,166,163,0:08:47  ,0:06:39  ,0:04:32  ,129.953125,202.0,140.87326550340705,134.0,178.0,--,493
