Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:03:26.273,00:03:20.00,0.62,15,--,0:05:33  ,0:05:23  ,0:04:46  ,176.921875,186.0,163.6632480657767,152.0,165.0,--,47
2,00:03:25.599,00:01:26.00,0.13,--,15,0:27:07  ,0:11:20  ,0:05:29  ,64.890625,178.0,91.42485892259992,151.0,188.0,--,47
3,00:03:19.224,00:03:16.00,0.63,--,--,0:05:17  ,0:05:12  ,0:04:30  ,179.0,188.0,170.05086167199897,150.0,168.0,--,44
4,00:04:05.135,00:02:16.00,0.26,2,--,0:15:42  ,0:08:42  ,0:05:11  ,77.25,186.0,132.68535753064168,115.0,140.0,--,29
5,00:02:49.970,00:01:27.00,0.16,--,--,0:17:15  ,0:08:50  ,0:08:07  ,77.90625,168.0,119.72609438102396,148.0,179.0,--,33
6,00:03:18.634,00:03:17.00,0.62,17,5,0:05:19  ,0:05:16  ,0:04:52  ,174.859375,187.0,172.9069449581291,198.0,212.0,--,58
7,00:03:21.200,00:01:41.00,0.15,--,14,0:22:18  ,0:11:11  ,0:05:14  ,73.3125,178.0,98.49445650897695,172.0,198.0,--,54
8,00:03:18.403,00:03:15.00,0.62,--,--,0:05:19  ,0:05:13  ,0:04:51  ,180.46875,191.0,167.73939920503219,191.0,207.0,--,58
9,00:03:20.419,00:01:34.00,0.15,5,--,0:21:39  ,0:10:09  ,0:05:16  ,80.203125,182.0,92.65264650441732,164.0,199.0,--,48
10,00:03:21.941,00:03:20.00,0.62,24,26,0:05:24  ,0:05:21  ,0:04:40  ,178.390625,198.0,166.8270226419223,151.0,159.0,--,42
11,00:03:30.446,00:00:05.00,0.03,--,--,1:52:43  ,0:02:40  ,0:05:04  ,12.484375,189.0,114.46028540107555,143.0,170.0,--,33
Summary,00:37:17.244,00:24:57.00,4,63,61,0:09:19  ,0:06:14  ,0:04:30  ,115.03125,198.0,150.06261555533135,157.0,212.0,--,493
