Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:07:12.938,00:07:11.00,1,13,7,0:07:13  ,0:07:11  ,0:04:16  ,167.078125,198.0,133.49237522351703,--,--,65.64037122969837,114
2,00:07:19.533,00:07:19.00,1,3,10,0:07:19  ,0:07:19  ,0:06:43  ,163.609375,167.0,134.27714094136783,--,--,65.83097949886104,116
3,00:05:40.865,00:05:39.00,0.76,13,0,0:07:29  ,0:07:26  ,0:06:43  ,161.953125,166.0,132.7932806688529,--,--,67.30442477876106,88
4,00:06:00.224,00:05:56.00,1,13,0,0:06:00  ,0:05:56  ,0:04:39  ,173.984375,202.0,154.07027492337448,--,--,69.04662921348314,113
5,00:04:06.224,00:04:04.00,0.66,0,7,0:06:11  ,0:06:08  ,0:05:52  ,171.515625,179.0,151.47876671223057,--,--,69.07704918032786,74
6,00:01:18.246,00:00:50.00,0.06,0,3,0:20:33  ,0:13:08  ,0:05:55  ,96.5625,179.0,81.09450171030802,--,--,70.19375,6
7,00:00:26.992,00:00:26.00,0.08,23,0,0:05:25  ,0:05:13  ,0:04:22  ,178.59375,198.0,166.27381345151454,--,--,71.6,8
8,00:01:05.83,00:01:04.00,0.1,13,23,0:10:44  ,0:10:34  ,0:04:57  ,155.734375,194.0,96.1890985544134,--,--,71.6,12
9,00:00:26.667,00:00:25.00,0.08,13,7,0:05:28  ,0:05:07  ,0:04:18  ,186.921875,200.0,157.43144481715186,--,--,71.6,8
10,00:01:10.707,00:01:03.00,0.1,13,23,0:11:27  ,0:10:12  ,0:04:57  ,155.40625,200.0,90.47251395309969,--,--,71.6,11
11,00:00:26.887,00:00:23.00,0.08,16,3,0:05:26  ,0:04:39  ,0:04:32  ,187.40625,200.0,157.70447857245998,--,--,71.6,9
12,00:01:09.381,00:01:03.00,0.1,13,26,0:11:43  ,0:10:38  ,0:04:58  ,155.625,193.0,88.2655475844026,--,--,71.6,10
13,00:00:26.980,00:00:26.00,0.08,13,0,0:05:30  ,0:05:18  ,0:04:27  ,188.328125,198.0,155.37602903829273,--,--,72.01538461538462,9
14,00:01:10.631,00:01:10.00,0.11,13,26,0:10:59  ,0:10:53  ,0:05:04  ,152.8125,195.0,95.86503293062634,--,--,72.37142857142857,10
15,00:06:11.206,00:06:07.00,1,10,7,0:06:11  ,0:06:07  ,0:05:20  ,172.46875,222.0,150.82604829016555,--,--,73.50299727520436,113
16,00:03:54.792,00:03:53.00,0.64,0,7,0:06:08  ,0:06:05  ,0:05:51  ,171.75,177.0,152.75882890907204,--,--,73.16051502145922,69
17,00:00:36.59,00:00:30.00,0.04,0,0,0:14:35  ,0:12:08  ,0:05:49  ,146.609375,177.0,75.21298082136077,--,--,73.4,4
18,00:00:22.588,00:00:21.00,0.08,13,0,0:04:57  ,0:04:36  ,0:04:22  ,113.0,113.0,287.08955213357564,--,--,73.4,6
19,00:01:22.644,00:01:21.00,0.1,20,30,0:13:40  ,0:13:24  ,0:04:35  ,147.484375,159.0,79.8198414264213,--,--,73.4,9
20,00:00:23.281,00:00:22.00,0.08,16,0,0:05:05  ,0:04:48  ,0:03:36  ,204.0,214.0,155.0620641671388,--,--,73.4,7
21,00:01:27.544,00:01:27.00,0.1,13,33,0:13:55  ,0:13:50  ,0:04:20  ,154.109375,207.0,75.0169468940144,--,--,73.4,8
22,00:00:22.953,00:00:20.00,0.08,16,0,0:04:39  ,0:04:03  ,0:03:38  ,143.515625,212.0,240.68383579367233,--,--,73.4,7
23,00:01:36.112,00:01:31.00,0.1,13,36,0:15:26  ,0:14:37  ,0:03:55  ,135.359375,214.0,77.02891631823144,--,--,73.1032967032967,9
24,00:00:23.122,00:00:21.00,0.08,23,0,0:04:42  ,0:04:16  ,0:03:09  ,200.515625,233.0,170.46270044400907,--,--,73.4,7
25,00:09:26.977,00:08:53.00,1,10,13,0:09:27  ,0:08:53  ,0:03:44  ,149.796875,221.0,113.69295671592022,--,--,75.14593639575972,111
26,00:08:20.326,00:08:18.00,1,10,16,0:08:20  ,0:08:18  ,0:07:29  ,161.78125,168.0,119.29452140078911,--,--,75.63012048192772,118
27,00:05:46.947,00:05:44.00,0.74,3,7,0:07:47  ,0:07:43  ,0:07:10  ,164.078125,170.0,125.80135401656678,--,--,76.4610465116279,88
Summary,01:18:15.909,01:17:12.00,10.27,308,282,0:07:37  ,0:07:31  ,0:03:09  ,162.03125,233.0,129.12929233798496,--,--,71.45664395229983,1144
