Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:07:50.721,00:07:49.00,1,22,--,0:07:50  ,0:07:49  ,0:06:50  ,167.0,180.0,122.8348771077877,151.0,163.0,--,104
2,00:07:13.143,00:07:10.00,0.97,63,19,0:07:25  ,0:07:21  ,0:07:12  ,168.546875,177.0,128.7135517319932,147.0,167.0,--,92
3,00:06:13.438,00:06:09.00,1,20,41,0:06:13  ,0:06:09  ,0:05:45  ,174.828125,182.0,147.90128711062448,162.0,171.0,--,89
4,00:06:25.313,00:06:23.00,1,--,23,0:06:25  ,0:06:23  ,0:06:05  ,177.1875,184.0,141.4343890998295,168.0,176.0,--,96
5,00:06:34.315,00:06:31.00,1,--,8,0:06:34  ,0:06:31  ,0:06:20  ,176.8125,183.0,138.4986315783273,170.0,181.0,--,100
6,00:06:57.758,00:06:53.00,1,44,9,0:06:57  ,0:06:53  ,0:06:33  ,171.921875,179.0,134.44536620460906,165.0,178.0,--,100
7,00:03:50.93,00:03:50.00,0.62,25,--,0:06:09  ,0:06:09  ,0:05:55  ,175.734375,181.0,148.88246914005546,170.0,179.0,--,58
8,00:12:18.543,00:11:42.00,1,36,64,0:12:18  ,0:11:42  ,0:05:55  ,137.015625,174.0,95.42361129007145,140.0,173.0,--,82
9,00:09:02.420,00:09:00.00,1,--,46,0:09:02  ,0:09:00  ,0:07:17  ,169.625,181.0,104.94849300996445,134.0,161.0,--,46
10,00:00:41.971,00:00:41.00,0.09,--,--,0:08:00  ,0:07:49  ,0:07:43  ,171.59375,175.0,117.10977017460509,159.0,165.0,--,9
Summary,01:07:07.715,01:06:08.00,8.69,210,210,0:07:43  ,0:07:37  ,0:05:45  ,165.734375,184.0,125.61657983972614,153.0,181.0,--,776
