Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:07:16.943,00:07:14.00,1,7,3,0:07:17  ,0:07:14  ,0:06:51  ,179.75,188.0,122.94420690053718,--,--,65.88479262672811,114
2,00:03:30.874,00:03:24.00,0.49,0,3,0:07:08  ,0:06:54  ,0:06:44  ,178.203125,185.0,126.3901493918104,--,--,62.997058823529414,57
3,00:04:00.573,00:03:58.00,0.72,3,0,0:05:35  ,0:05:32  ,0:04:56  ,190.046875,194.0,151.30396947053626,--,--,61.11008403361345,85
4,00:01:30.126,00:01:26.00,0.18,0,3,0:08:24  ,0:08:01  ,0:05:27  ,171.71875,194.0,111.53035821713655,--,--,59.04186046511628,20
5,00:04:00.150,00:04:00.00,0.72,13,0,0:05:35  ,0:05:34  ,0:05:06  ,187.25,194.0,153.87712974133828,--,--,60.6725,80
6,00:01:29.905,00:01:27.00,0.17,0,0,0:08:42  ,0:08:25  ,0:07:28  ,169.78125,184.0,108.81944811425393,--,--,60.8,16
7,00:04:00.721,00:03:59.00,0.69,20,0,0:05:51  ,0:05:48  ,0:04:58  ,182.25,194.0,150.78844406399415,--,--,62.53221757322176,76
8,00:02:59.586,00:02:57.00,0.3,7,0,0:09:51  ,0:09:42  ,0:06:15  ,168.84375,179.0,96.75953140699582,--,--,63.18983050847457,34
9,00:00:29.539,00:00:29.00,0.1,7,0,0:04:53  ,0:04:47  ,0:04:33  ,196.828125,204.0,167.4376107349254,--,--,64.4,10
10,00:01:00.139,00:00:55.00,0.09,3,0,0:11:42  ,0:10:42  ,0:04:53  ,169.78125,204.0,80.99329803257524,--,--,64.4,10
11,00:00:30.128,00:00:27.00,0.1,0,0,0:04:59  ,0:04:28  ,0:04:41  ,198.671875,207.0,162.48032006119044,--,--,64.8,10
12,00:00:59.835,00:00:53.00,0.1,0,10,0:09:49  ,0:08:42  ,0:04:46  ,169.5,202.0,96.68475929833696,--,--,66.2,12
13,00:00:31.777,00:00:31.00,0.12,0,0,0:04:28  ,0:04:21  ,0:04:05  ,199.75,212.0,180.20448286840067,--,--,66.2,11
14,00:00:55.907,00:00:53.00,0.08,0,7,0:11:18  ,0:10:43  ,0:04:25  ,166.53125,202.0,85.466971678536,--,--,66.2,11
15,00:00:29.797,00:00:25.00,0.11,0,0,0:04:39  ,0:03:54  ,0:04:14  ,198.34375,207.0,174.15083667275033,--,--,66.2,10
16,00:01:00.468,00:00:58.00,0.1,0,3,0:10:29  ,0:10:03  ,0:04:14  ,166.859375,207.0,92.00119092195318,--,--,66.2,10
17,00:00:29.767,00:00:29.00,0.1,0,0,0:04:53  ,0:04:46  ,0:04:22  ,196.9375,209.0,166.84069576762872,--,--,66.2,10
18,00:01:00.386,00:00:59.00,0.1,0,7,0:10:27  ,0:10:13  ,0:04:22  ,167.15625,203.0,92.02788484715488,--,--,66.2,11
19,00:00:30.189,00:00:28.00,0.11,0,0,0:04:43  ,0:04:23  ,0:04:15  ,194.703125,207.0,174.87901444418503,--,--,66.2,10
20,00:01:00.658,00:00:55.00,0.1,0,7,0:09:45  ,0:08:51  ,0:04:32  ,166.78125,198.0,98.85517404470458,--,--,66.2,12
21,00:00:30.645,00:00:28.00,0.1,0,3,0:05:04  ,0:04:37  ,0:04:25  ,191.671875,202.0,165.6240476120356,--,--,66.2,10
22,00:01:00.09,00:00:58.00,0.08,0,3,0:12:03  ,0:11:39  ,0:04:45  ,165.890625,196.0,80.42648097411602,--,--,66.2,7
23,00:00:29.740,00:00:27.00,0.1,3,0,0:04:48  ,0:04:22  ,0:04:36  ,193.53125,204.0,172.83978685032858,--,--,66.2,10
24,00:03:00.741,00:03:00.00,0.29,0,10,0:10:17  ,0:10:15  ,0:04:41  ,166.03125,200.0,94.15684248408795,--,--,66.99000000000001,31
25,00:02:59.503,00:02:58.00,0.51,0,7,0:05:49  ,0:05:46  ,0:04:33  ,182.46875,202.0,151.43393096525708,--,--,67.48426966292135,60
26,00:02:01.446,00:01:57.00,0.15,0,3,0:13:14  ,0:12:45  ,0:06:20  ,163.625,175.0,74.33422044307888,--,--,67.23076923076923,12
27,00:01:57.768,00:01:55.00,0.34,3,3,0:05:42  ,0:05:34  ,0:05:20  ,187.828125,196.0,149.98276161734222,--,--,69.34608695652173,36
28,00:02:01.610,00:02:00.00,0.14,3,3,0:14:40  ,0:14:28  ,0:06:50  ,161.359375,179.0,67.97767471571233,--,--,66.545,11
29,00:01:01.104,00:01:00.00,0.18,0,0,0:05:38  ,0:05:31  ,0:05:33  ,187.25,196.0,152.59413168769765,--,--,66.2,18
30,00:10:01.777,00:09:59.00,1,10,16,0:10:02  ,0:09:59  ,0:05:33  ,167.875,188.0,95.58288917220816,--,--,70.70751252086811,111
31,00:03:41.735,00:03:39.00,0.4,3,3,0:09:21  ,0:09:14  ,0:08:34  ,168.25,172.0,102.28184082140162,--,--,74.5095890410959,45
Summary,01:06:33.546,01:06:34.00,8.77,82,95,0:07:35  ,0:07:35  ,0:04:05  ,176.078125,212.0,118.81972061924921,--,--,66.04181271907862,960
