Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:07:29.186,00:07:24.00,1,10,7,0:07:29  ,0:07:24  ,0:07:01  ,165.59375,177.0,129.81700655477613,--,--,76.60270270270271,113
2,00:07:21.137,00:07:17.00,1,3,7,0:07:22  ,0:07:18  ,0:06:41  ,164.203125,168.0,133.00942187983048,--,--,73.5070938215103,111
3,00:06:05.299,00:06:03.00,1,13,0,0:06:05  ,0:06:03  ,0:05:33  ,172.0,181.0,153.682637240968,--,--,71.12396694214877,114
4,00:06:01.493,00:06:01.493,1,10,3,0:06:01  ,0:06:01  ,0:05:37  ,173.625,179.0,153.84719542573444,--,--,73.03204419889502,114
5,00:05:46.752,00:05:45.00,1,0,16,0:05:46  ,0:05:45  ,0:05:30  ,174.296875,181.0,159.76923476509998,--,--,75.14782608695653,110
6,00:02:02.564,00:02:02.00,0.34,3,10,0:06:01  ,0:06:00  ,0:05:49  ,176.4375,179.0,151.26460847248825,--,--,75.2,37
7,00:00:39.693,00:00:29.00,0.03,0,3,0:21:13  ,0:15:30  ,0:06:23  ,52.25,178.0,145.2005316596801,--,--,76.2,2
8,00:08:26.246,00:08:20.00,1,3,10,0:08:26  ,0:08:20  ,0:07:24  ,160.0625,166.0,119.16550168352946,--,--,77.0,109
9,00:07:46.328,00:07:41.00,1,7,7,0:07:46  ,0:07:41  ,0:06:41  ,163.734375,170.0,126.46501102256293,--,--,77.92537960954448,116
10,00:06:04.10,00:05:58.00,0.69,0,3,0:08:51  ,0:08:42  ,0:07:04  ,161.75,170.0,112.32838571561608,--,--,79.00111731843576,79
Summary,00:57:42.708,00:57:31.00,8.05,49,66,0:07:10  ,0:07:08  ,0:05:30  ,165.421875,181.0,135.33783081506613,--,--,75.54055459272098,905
