Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:07:25.575,00:07:20.00,1,56,49,0:07:25  ,0:07:20  ,0:06:42  ,175.59375,185.0,123.41611372330068,--,--,71.6,115
2,00:07:56.830,00:07:56.00,1,200,0,0:07:56  ,0:07:56  ,0:06:56  ,169.9375,179.0,119.16506768211777,--,--,72.86680672268908,118
3,00:04:34.359,00:04:32.00,0.6,0,157,0:07:40  ,0:07:36  ,0:07:13  ,170.75,179.0,122.9654975114336,--,--,73.79705882352941,69
4,00:05:41.378,00:05:40.00,1,39,43,0:05:41  ,0:05:40  ,0:05:13  ,181.4375,194.0,155.89750941972278,--,--,74.88235294117646,117
5,00:05:47.295,00:05:43.00,1,20,33,0:05:47  ,0:05:43  ,0:05:28  ,179.140625,183.0,155.206217680895,--,--,74.80116618075802,116
6,00:05:53.215,00:05:49.00,1,23,36,0:05:53  ,0:05:49  ,0:05:29  ,179.359375,187.0,152.41879794911276,--,--,76.19541547277936,115
7,00:02:41.753,00:02:39.00,0.46,26,0,0:05:52  ,0:05:46  ,0:05:43  ,179.5625,183.0,152.55136099144335,--,--,75.2,52
8,00:09:15.191,00:09:14.00,1,190,16,0:09:15  ,0:09:14  ,0:05:56  ,163.28125,181.0,106.51800670383172,--,--,77.2696750902527,117
9,00:08:27.456,00:08:23.00,1,7,210,0:08:27  ,0:08:23  ,0:07:52  ,165.75,175.0,114.80209795453777,--,--,77.9089463220676,118
10,00:00:30.782,00:00:28.00,0.06,0,3,0:08:40  ,0:07:53  ,0:08:17  ,166.703125,170.0,111.21990898901129,--,--,78.80000000000001,7
Summary,00:58:13.834,00:58:13.00,8.12,561,548,0:07:10  ,0:07:10  ,0:05:13  ,172.453125,194.0,129.37142933522466,--,--,75.10163090128756,944
