Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:07:12.472,00:07:10.00,1,13,3,0:07:12  ,0:07:10  ,0:06:15  ,165.90625,174.0,134.5801542093131,--,--,79.98883720930232,115
2,00:07:47.595,00:07:46.00,1,3,7,0:07:47  ,0:07:46  ,0:07:17  ,163.609375,168.0,126.21869999820132,--,--,76.65622317596566,116
3,00:05:48.176,00:05:47.00,0.74,10,0,0:07:51  ,0:07:50  ,0:07:25  ,163.15625,166.0,125.494198828108,--,--,75.2,85
4,00:06:07.259,00:06:03.00,1,20,3,0:06:07  ,0:06:03  ,0:05:29  ,171.828125,184.0,153.0153663954629,--,--,76.33297002724797,109
5,00:06:21.610,00:06:17.00,1,23,13,0:06:21  ,0:06:17  ,0:06:00  ,172.203125,181.0,146.94032282331654,--,--,76.49867374005305,113
6,00:06:39.886,00:06:36.00,1,0,23,0:06:39  ,0:06:36  ,0:06:10  ,168.546875,174.0,143.26656837667375,--,--,79.3409090909091,117
7,00:01:35.672,00:01:35.672,0.26,0,3,0:06:06  ,0:06:06  ,0:06:33  ,168.390625,170.0,156.45550246394245,--,--,80.6,27
8,00:08:44.309,00:08:41.00,1,0,20,0:08:44  ,0:08:41  ,0:07:54  ,159.625,166.0,115.37547654518877,--,--,81.70902111324375,112
9,00:08:05.525,00:08:04.00,1,7,10,0:08:05  ,0:08:04  ,0:07:04  ,159.859375,164.0,124.40907068623714,--,--,80.6,116
10,00:05:30.276,00:05:27.00,0.71,0,0,0:07:46  ,0:07:42  ,0:06:37  ,161.34375,166.0,128.24207703562854,--,--,80.6,84
Summary,01:03:52.780,01:03:47.00,8.71,75,82,0:07:20  ,0:07:19  ,0:05:29  ,164.890625,184.0,132.7223886601519,--,--,78.76335160532498,994
