Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:22.6,00:21.0,0.09,--,--,0:04:09,0:03:57,0:03:22,176.734375,213,218.8596444,67,84,--,0
2,02:33.6,02:23.0,0.13,--,--,0:20:21,0:18:57,0:03:48,66.4375,213,119.0072819,72,90,--,6
3,00:21.3,00:20.0,0.09,--,--,0:03:56,0:03:42,0:03:16,123.734375,125,330.3454734,107,130,--,2
4,02:26.2,02:13.0,0.13,--,--,0:18:48,0:17:06,0:03:27,62.953125,126,135.9909255,105,135,--,17
5,00:21.3,00:19.0,0.08,--,--,0:04:13,0:03:45,0:03:11,194.578125,226,195.9986546,134,155,--,3
6,02:27.8,02:02.0,0.14,--,4,0:17:50,0:14:43,0:03:31,72.9375,226,123.7626854,128,162,--,25
7,00:21.7,00:21.0,0.08,--,--,0:04:18,0:04:10,0:03:38,128.859375,149,289.408802,135,152,--,3
8,02:16.8,02:15.0,0.13,--,--,0:17:34,0:17:20,0:03:38,81.3125,149,112.6616952,128,164,--,23
9,00:21.5,00:19.0,0.09,4,--,0:04:09,0:03:40,0:03:27,108.140625,111,357.871874,127,141,--,3
10,02:25.9,02:12.0,0.13,--,--,0:18:54,0:17:06,0:03:46,80.5,124,105.7782313,111,145,--,17
11,00:21.7,00:18.0,0.09,--,--,0:04:05,0:03:29,0:03:21,179.953125,242,218.3713009,124,146,--,2
12,02:42.9,02:30.0,0.13,--,--,0:21:37,0:19:54,0:03:38,56.03125,242,132.914752,144,157,--,34
13,00:20.6,00:19.0,0.09,--,--,0:04:01,0:03:42,0:03:14,80.203125,125,499.3030898,157,165,--,4
14,00:47.6,00:08.0,0.03,--,--,0:25:11,0:04:14,0:03:20,40.25,125,158.7099929,166,174,--,11
Summary,18:10.2,16:21.0,1.41,4,4,0:12:52,0:11:34,0:03:11,78.234375,242,159.9303097,118,174,--,150
