Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:00:22.391,00:00:19.00,0.06,--,--,0:05:47  ,0:04:54  ,0:03:20  ,144.640625,234.0,192.45065150714464,149.0,150.0,--,2
2,00:01:12.904,00:00:26.00,0.06,--,--,0:20:06  ,0:07:10  ,0:03:44  ,45.84375,234.0,174.6218811686026,100.0,147.0,--,8
3,00:00:21.254,00:00:19.00,0.03,--,--,0:10:37  ,0:09:29  ,0:06:19  ,0.0,0.0,--,108.0,151.0,--,1
4,00:01:10.869,00:00:33.00,0.03,--,4,0:35:37  ,0:16:35  ,0:06:25  ,31.359375,126.0,144.11397763826614,155.0,174.0,--,15
5,00:00:21.459,00:00:15.00,0.04,--,--,0:08:13  ,0:05:45  ,0:04:21  ,153.265625,241.0,127.59176954337583,164.0,196.0,--,4
6,00:01:07.587,00:00:49.00,0.05,--,--,0:20:51  ,0:15:07  ,0:03:31  ,51.5625,229.0,149.5801368450857,196.0,202.0,--,19
7,00:00:22.319,00:00:22.00,0.05,--,--,0:07:48  ,0:07:42  ,0:04:25  ,198.65625,232.0,103.71218234995507,192.0,194.0,--,6
8,00:01:33.798,00:01:02.00,0.08,--,--,0:20:47  ,0:13:44  ,0:03:40  ,57.96875,232.0,133.54292646252094,171.0,194.0,--,23
9,00:00:22.663,00:00:17.00,0.05,--,--,0:07:29  ,0:05:36  ,0:02:52  ,175.21875,231.0,122.75047322654859,173.0,189.0,--,5
10,00:05:11.763,00:02:51.00,0.13,7,--,0:38:32  ,0:21:07  ,0:03:18  ,28.75,225.0,145.34116912529996,140.0,200.0,--,54
11,00:00:22.282,00:00:21.00,0.06,--,--,0:06:02  ,0:05:41  ,0:03:11  ,158.453125,238.0,168.15588263413392,135.0,161.0,--,3
12,00:01:07.882,00:00:49.00,0.05,--,14,0:21:31  ,0:15:32  ,0:03:24  ,36.203125,231.0,206.54795153659254,152.0,167.0,--,14
13,00:00:22.762,00:00:17.00,0.04,--,--,0:09:05  ,0:06:47  ,0:05:59  ,166.65625,223.0,106.24159425481122,156.0,178.0,--,4
14,00:01:07.528,00:00:35.00,0.05,10,--,0:24:18  ,0:12:36  ,0:04:15  ,34.0625,223.0,194.38541268824702,165.0,185.0,--,16
15,00:00:23.57,00:00:20.00,0.05,--,--,0:07:11  ,0:06:14  ,0:03:42  ,196.09375,226.0,114.1123507565963,158.0,189.0,--,4
16,00:01:13.521,00:00:40.00,0.04,--,--,0:28:56  ,0:15:44  ,0:03:54  ,30.65625,218.0,181.50048616454166,199.0,208.0,--,21
17,00:00:22.784,00:00:19.00,0.05,--,9,0:07:53  ,0:06:35  ,0:04:35  ,175.09375,231.0,116.45546871497223,189.0,189.0,--,6
18,00:01:14.596,00:01:02.00,0.06,--,--,0:22:15  ,0:18:30  ,0:04:21  ,39.796875,214.0,181.63581635643104,187.0,195.0,--,20
19,00:00:22.322,00:00:16.00,0.05,--,--,0:07:40  ,0:05:29  ,0:03:35  ,153.09375,222.0,137.1410015589912,187.0,191.0,--,6
20,00:45:35.890,00:10:42.00,0.49,9,6,1:33:09  ,0:21:53  ,0:07:55  ,23.375,215.0,73.83541166329624,118.0,193.0,--,243
Summary,01:04:19.631,00:22:34.00,1.54,26,33,0:41:51  ,0:14:41  ,0:02:52  ,34.34375,241.0,111.93277923477581,129.0,208.0,--,474
