Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:00:52.609,00:00:46.00,0.16,--,--,0:05:21  ,0:04:41  ,0:03:56  ,180.375,221.0,166.56358885272041,180.0,193.0,--,12
2,00:01:01.518,00:00:51.00,0.06,--,--,0:17:02  ,0:14:07  ,0:04:41  ,106.6875,206.0,88.53910169840034,164.0,193.0,--,14
3,00:00:21.994,00:00:00.00,--,--,--,--,--,--,0.0,0.0,--,152.0,167.0,--,4
4,00:01:08.311,00:00:00.00,0.01,--,--,1:29:25  ,--,0:16:42  ,26.5,124.0,67.97988376743045,141.0,173.0,--,13
5,00:00:21.881,00:00:18.00,0.05,--,--,0:07:47  ,0:06:24  ,0:06:11  ,107.09375,124.0,192.7779023226887,133.0,146.0,--,3
6,00:04:47.401,00:00:20.00,0.05,--,--,1:34:08  ,0:06:33  ,0:06:56  ,21.0,126.0,81.30004369347145,105.0,155.0,--,27
7,00:00:50.402,00:00:37.00,0.14,--,--,0:05:49  ,0:04:16  ,0:04:10  ,166.640625,213.0,165.91933649445397,155.0,178.0,--,9
8,00:01:05.940,00:00:31.00,0.05,--,--,0:24:18  ,0:11:25  ,0:04:36  ,69.078125,201.0,95.90754341295253,167.0,186.0,--,15
9,00:00:21.812,00:00:20.00,0.09,--,--,0:04:07  ,0:03:47  ,0:03:25  ,210.953125,234.0,184.6952425376286,171.0,191.0,--,4
10,00:01:11.992,00:00:38.00,0.06,--,--,0:21:25  ,0:11:18  ,0:03:32  ,73.4375,234.0,102.30924636257662,185.0,194.0,--,19
11,00:00:22.213,00:00:11.00,0.03,--,--,0:12:37  ,0:06:14  ,0:03:19  ,72.234375,227.0,176.6111296986074,182.0,190.0,--,5
12,00:05:12.914,00:01:16.00,0.05,--,--,1:41:37  ,0:24:41  ,0:03:40  ,17.546875,227.0,90.21861242062987,143.0,190.0,--,55
13,00:00:46.623,00:00:33.00,0.12,--,--,0:06:31  ,0:04:37  ,0:04:03  ,138.640625,216.0,177.84159574883645,175.0,210.0,--,9
14,00:00:56.272,00:00:09.00,0.04,--,--,0:22:54  ,0:03:39  ,0:04:13  ,69.359375,200.0,101.26081415400843,197.0,211.0,--,15
15,00:00:22.273,00:00:21.00,0.09,--,--,0:04:15  ,0:04:01  ,0:03:24  ,206.90625,229.0,182.44419388778778,179.0,190.0,--,5
16,00:01:14.534,00:00:03.00,0.04,--,--,0:33:12  ,0:01:20  ,0:03:35  ,38.265625,229.0,126.64397311046267,179.0,193.0,--,19
17,00:00:21.486,00:00:18.00,0.08,--,--,0:04:25  ,0:03:42  ,0:03:14  ,208.578125,235.0,174.23593050179733,179.0,195.0,--,5
18,00:00:55.58,00:00:03.00,0.03,--,--,0:28:25  ,0:01:32  ,0:03:10  ,38.59375,235.0,146.68962843810763,164.0,196.0,--,12
Summary,00:22:15.233,00:07:15.00,1.15,--,--,0:19:25  ,0:06:19  ,0:03:10  ,61.296875,235.0,135.21213851829552,150.0,211.0,--,245
