Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:00:48.217,00:00:44.00,0.16,--,--,0:04:57  ,0:04:31  ,0:04:01  ,183.625,208.0,176.70964446950848,140.0,171.0,--,9
2,00:01:13.724,00:00:22.00,0.03,--,--,0:36:45  ,0:10:57  ,0:04:34  ,41.140625,201.0,106.48682421647342,153.0,174.0,--,17
3,00:00:21.291,00:00:04.00,0.04,--,--,0:09:35  ,0:01:48  ,0:03:10  ,67.71875,237.0,247.60716956074077,158.0,181.0,--,4
4,00:01:29.431,00:00:31.00,0.04,--,--,0:33:42  ,0:11:40  ,0:00:26  ,28.265625,237.0,168.99916029381694,172.0,184.0,--,23
5,00:00:21.318,00:00:15.00,0.03,--,--,0:12:46  ,0:08:59  ,0:03:10  ,63.046875,233.0,199.90575116236454,173.0,191.0,--,5
6,00:05:01.448,00:00:40.00,0.08,23,--,1:05:55  ,0:08:45  ,0:03:23  ,12.734375,222.0,191.62478314928467,123.0,195.0,--,41
7,00:00:47.249,00:00:33.00,0.06,--,25,0:12:46  ,0:08:55  ,0:04:36  ,174.75,220.0,72.13722750284019,125.0,148.0,--,6
8,00:01:23.470,00:01:12.00,0.07,--,12,0:20:32  ,0:17:43  ,0:08:55  ,39.078125,204.0,200.51804464812957,110.0,149.0,--,9
9,00:00:21.485,00:00:13.00,0.02,--,--,0:14:37  ,0:08:51  ,0:05:44  ,185.71875,235.0,59.260670542410665,119.0,148.0,--,1
10,00:01:33.894,00:00:35.00,0.05,9,--,0:34:13  ,0:12:45  ,0:03:41  ,34.15625,226.0,137.73333650220977,111.0,156.0,--,11
11,00:00:20.921,00:00:13.00,0.03,--,--,0:13:46  ,0:08:33  ,0:03:12  ,184.234375,239.0,63.434536133000044,118.0,166.0,--,1
12,00:05:02.364,00:02:48.00,0.12,--,--,0:42:47  ,0:23:46  ,0:03:15  ,18.21875,239.0,206.4772460959677,139.0,169.0,--,58
13,00:00:44.605,00:00:41.00,0.11,--,20,0:06:55  ,0:06:21  ,0:04:05  ,180.6875,222.0,128.74639072922548,158.0,189.0,--,9
14,00:01:25.59,00:01:11.00,0.06,--,--,0:25:28  ,0:21:16  ,0:06:06  ,36.5,207.0,173.04347085552948,197.0,209.0,--,25
15,00:00:21.58,00:00:19.00,0.05,--,--,0:06:43  ,0:06:04  ,0:03:14  ,158.09375,242.0,151.22833001195423,192.0,199.0,--,6
16,00:01:29.945,00:00:41.00,0.06,21,--,0:25:30  ,0:11:37  ,0:03:16  ,27.75,230.0,227.43027869909758,195.0,204.0,--,27
17,00:00:20.308,00:00:19.00,0.04,--,--,0:07:56  ,0:07:26  ,0:04:22  ,143.046875,249.0,141.60431985647003,186.0,187.0,--,5
18,00:00:13.517,00:00:10.00,0.02,--,--,0:14:23  ,0:10:38  ,0:05:26  ,69.265625,134.0,161.55708287256553,186.0,188.0,--,4
Summary,00:23:19.304,00:11:57.00,1.06,70,57,0:22:05  ,0:11:19  ,0:00:26  ,49.96875,249.0,145.7989914750565,144.0,209.0,--,261
