Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:00:54.662,00:00:50.00,0.08,3,0,0:10:54  ,0:09:58  ,0:05:43  ,180.8125,204.0,81.5899262378346,--,--,75.4423076923077,14
2,00:01:02.707,00:00:53.00,0.06,0,3,0:17:52  ,0:15:06  ,0:09:44  ,42.015625,189.0,214.318750858869,--,--,76.32075471698113,3
3,00:00:30.147,00:00:27.00,0.06,7,3,0:08:34  ,0:07:41  ,0:04:10  ,188.640625,230.0,99.43820839435844,--,--,77.0,7
4,00:02:04.648,00:00:47.00,0.08,0,3,0:27:20  ,0:10:18  ,0:06:22  ,73.203125,209.0,80.38688003959341,--,--,75.56346153846154,4
5,00:00:31.566,00:00:25.00,0.06,10,0,0:08:37  ,0:06:49  ,0:04:10  ,177.359375,219.0,105.30629130087999,--,--,75.2,7
6,00:03:40.130,00:03:15.00,0.2,0,7,0:18:11  ,0:16:06  ,0:04:10  ,73.453125,206.0,120.47693461909115,--,--,75.2,19
7,00:00:55.215,00:00:50.00,0.12,0,0,0:07:36  ,0:06:53  ,0:05:27  ,183.96875,197.0,114.98120147082629,--,--,75.2,13
8,00:00:59.835,00:00:27.00,0.04,0,0,0:24:57  ,0:11:15  ,0:07:44  ,47.59375,191.0,135.47433571930918,--,--,75.2,2
9,00:00:31.842,00:00:28.00,0.06,0,0,0:08:27  ,0:07:25  ,0:04:54  ,179.59375,209.0,106.08496061210046,--,--,75.2,6
10,00:02:00.445,00:01:48.00,0.09,0,3,0:23:12  ,0:20:48  ,0:07:36  ,91.375,203.0,75.91002200181336,--,--,73.4,6
11,00:00:31.487,00:00:16.00,0.06,7,3,0:09:14  ,0:04:41  ,0:05:11  ,154.8125,212.0,112.57582588302564,--,--,73.4,6
12,00:03:33.693,00:02:10.00,0.13,10,10,0:26:49  ,0:16:19  ,0:05:34  ,59.296875,209.0,101.19382683708021,--,--,74.29142857142857,12
13,00:00:52.704,00:00:48.00,0.07,0,0,0:12:42  ,0:11:34  ,0:05:51  ,186.515625,204.0,67.90355073159039,--,--,75.2,13
14,00:01:02.431,00:00:06.00,0.02,0,0,0:47:34  ,0:04:34  ,0:07:02  ,47.78125,193.0,70.80046768402549,--,--,75.2,2
15,00:00:31.323,00:00:24.00,0.05,0,0,0:10:51  ,0:08:19  ,0:05:10  ,169.703125,214.0,87.37660148883944,--,--,75.2,7
16,00:02:05.660,00:01:42.00,0.12,0,0,0:16:53  ,0:13:42  ,0:06:14  ,71.4375,214.0,133.34986835201522,--,--,73.85882352941177,9
17,00:00:31.313,00:00:20.00,0.04,0,0,0:14:54  ,0:09:31  ,0:05:17  ,182.328125,214.0,59.209276479924036,--,--,75.2,6
18,00:03:26.891,00:02:15.00,0.12,0,3,0:28:30  ,0:18:36  ,0:07:14  ,72.640625,195.0,77.72732406383143,--,--,73.88292682926829,8
19,00:00:51.492,00:00:49.00,0.08,7,3,0:11:15  ,0:10:42  ,0:04:41  ,173.828125,202.0,82.25672078713295,--,--,75.2,16
20,00:01:11.789,00:01:08.00,0.07,0,7,0:17:52  ,0:16:56  ,0:05:57  ,59.5625,193.0,151.15299936969163,--,--,73.92941176470589,7
21,00:00:29.829,00:00:29.00,0.06,3,0,0:07:54  ,0:07:40  ,0:10:09  ,173.0625,224.0,117.70376960116111,--,--,73.4,2
22,00:02:04.912,00:01:45.00,0.1,0,3,0:20:07  ,0:16:54  ,0:07:24  ,87.90625,203.0,90.99547669743274,--,--,73.4,12
23,00:00:28.471,00:00:27.00,0.07,3,0,0:06:51  ,0:06:30  ,0:12:08  ,155.484375,209.0,150.78626583384784,--,--,73.4,2
24,00:02:20.499,00:01:11.00,0.1,0,7,0:24:01  ,0:12:08  ,0:09:56  ,49.640625,209.0,135.02124551286659,--,--,73.4,6
Summary,00:33:13.691,00:25:01.00,1.93,49,56,0:17:10  ,0:12:56  ,0:04:10  ,92.703125,230.0,106.11556745827653,--,--,74.51484453360081,189
