Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:01:02.841,00:00:58.00,0.25,--,--,0:04:12  ,0:03:52  ,0:03:35  ,184.75,215.0,207.25288254005534,119.0,146.0,--,8
2,00:02:42.750,00:01:27.00,0.12,--,--,0:22:18  ,0:11:55  ,0:04:07  ,65.890625,244.0,109.50698852789182,93.0,146.0,--,14
3,00:00:30.405,00:00:29.00,0.12,--,--,0:04:13  ,0:04:01  ,0:03:35  ,174.46875,212.0,218.64668572609247,109.0,152.0,--,2
4,00:01:34.191,00:01:13.00,0.09,--,--,0:16:36  ,0:12:52  ,0:04:01  ,89.3125,206.0,108.51793653924786,121.0,156.0,--,14
5,00:00:30.463,00:00:29.00,0.12,2,--,0:04:14  ,0:04:02  ,0:03:47  ,173.875,211.0,217.8428492192847,151.0,189.0,--,5
6,00:02:05.108,00:00:46.00,0.09,--,--,0:22:08  ,0:08:08  ,0:03:50  ,64.28125,194.0,113.1570276636259,194.0,199.0,--,36
7,00:01:04.245,00:01:00.00,0.24,--,--,0:04:22  ,0:04:05  ,0:03:46  ,181.3125,208.0,202.69869359307702,204.0,217.0,--,18
8,00:03:20.116,00:01:48.00,0.19,--,--,0:17:52  ,0:09:38  ,0:04:12  ,79.0,205.0,113.98705220659562,203.0,217.0,--,58
9,00:00:31.490,00:00:28.00,0.12,--,--,0:04:23  ,0:03:54  ,0:03:51  ,39.5625,211.0,925.027019643386,196.0,202.0,--,9
10,00:01:37.160,00:00:57.00,0.07,--,--,0:23:57  ,0:14:03  ,0:04:10  ,56.484375,211.0,118.97182417105259,196.0,205.0,--,28
11,00:00:30.337,00:00:28.00,0.12,--,--,0:04:17  ,0:03:57  ,0:03:41  ,170.796875,209.0,219.9455295630398,194.0,196.0,--,8
12,00:02:09.584,00:01:16.00,0.1,--,--,0:20:45  ,0:12:10  ,0:03:37  ,79.15625,209.0,97.90801251947158,187.0,202.0,--,36
13,00:01:01.780,00:01:01.00,0.25,--,--,0:04:09  ,0:04:06  ,0:03:38  ,181.296875,215.0,213.27401554142895,200.0,211.0,--,17
14,00:03:20.583,00:01:37.00,0.16,--,--,0:21:05  ,0:10:11  ,0:04:06  ,67.15625,203.0,113.68926325677737,160.0,211.0,--,46
15,00:00:31.657,00:00:30.00,0.12,--,3,0:04:13  ,0:04:00  ,0:03:40  ,166.9375,213.0,227.82954412279142,170.0,191.0,--,7
16,00:01:50.351,00:01:01.00,0.08,--,--,0:21:43  ,0:12:00  ,0:03:59  ,70.6875,185.0,104.80183192617012,177.0,191.0,--,29
17,00:00:29.577,00:00:27.00,0.12,--,--,0:04:15  ,0:03:52  ,0:03:41  ,116.5,125.0,324.87256486720804,180.0,196.0,--,7
18,00:03:15.930,00:00:43.00,0.07,--,--,0:49:24  ,0:10:50  ,0:03:55  ,24.140625,125.0,134.93387385260323,175.0,197.0,--,50
Summary,00:28:08.568,00:16:38.00,2.44,2,3,0:11:33  ,0:06:49  ,0:03:35  ,85.828125,244.0,162.35029220603602,168.0,217.0,--,392
