Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,01:11.2,01:07.0,0.21,0,0,0:05:34,0:05:14,0:04:15,181.203125,207,159.3021971,--,--,73.4,24
2,01:12.5,00:14.0,0.03,0,0,0:35:37,0:06:52,0:06:07,57.671875,189,78.33814388,--,--,73.4,3
3,00:30.2,00:14.0,0.04,0,0,0:06:21,0:06:00,0:03:39,143.40625,216,176.7240039,--,--,73.4,3
5,01:30.9,00:01.0,0.02,0,0,1:18:13,0:00:51,0:04:20,20.484375,212,100.5220287,--,--,73.4,2
6,00:29.3,00:27.0,0.11,0,0,0:04:15,0:03:55,0:03:34,195.234375,219,193.5828057,--,--,73.2,10
7,05:00.8,04:26.0,0.23,13,10,0:22:10,0:19:36,0:03:44,69.859375,219,103.9081543,--,--,71.6,24
8,01:07.6,01:03.0,0.21,7,0,0:05:15,0:04:54,0:04:25,182.53125,203,167.6661605,--,--,70.77142857,23
9,01:10.5,00:43.0,0.04,0,0,0:32:43,0:19:56,0:04:41,62.21875,195,79.10474333,--,--,69.8,3
10,00:30.2,00:28.0,0.1,0,0,0:05:03,0:04:41,0:03:45,177.296875,216,179.3919108,--,--,69.8,9
11,01:30.3,00:45.0,0.06,0,0,0:24:31,0:12:13,0:03:45,72.015625,214,91.17696292,--,--,69.8,6
12,00:30.8,00:29.0,0.08,3,0,0:06:30,0:06:07,0:03:52,139.84375,216,176.8448857,--,--,69.8,7
13,05:04.1,04:58.0,0.14,0,0,0:36:00,0:35:16,0:04:01,56.015625,207,79.81552011,--,--,69.64899329,14
14,01:06.2,01:04.0,0.22,7,3,0:04:58,0:04:48,0:04:13,194.375,210,166.4096246,--,--,69.8,23
15,01:10.4,00:06.0,0.03,0,0,0:39:20,0:03:21,0:05:09,49.25,194,83.11018506,--,--,69.8,3
16,00:29.5,00:18.0,0.07,3,0,0:07:28,0:04:33,0:03:19,114.3125,221,188.3180264,--,--,69.8,5
17,01:46.3,01:41.0,0.09,0,3,0:18:41,0:17:45,0:03:51,87.109375,221,98.85854107,--,--,69.8,10
18,00:27.6,00:26.0,0.11,10,0,0:04:05,0:03:51,0:03:31,178.265625,184,220.3056437,--,--,69.8,9
19,05:25.0,04:43.0,0.08,0,10,1:07:45,0:58:57,0:03:39,35.453125,236,67.06798376,--,--,70.1244898,7
Summary,30:14.2,24:27.0,1.95,46,26,0:15:32,0:12:34,0:03:19,80.609375,236,104.5944612,--,--,70.77144432,191
