Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:05:53.728,00:05:35.00,0.48,30,30,0:12:15  ,0:11:35  ,0:07:46  ,173.25,179.0,75.8603792364847,--,--,73.28034682080926,43
2,00:01:30.779,00:00:40.00,0.06,0,3,0:24:28  ,0:10:47  ,0:13:33  ,61.484375,176.0,106.96068541894932,--,--,71.6,3
3,00:05:51.792,00:05:51.00,0.49,16,16,0:11:58  ,0:11:57  ,0:10:13  ,173.28125,185.0,77.55152216724372,--,--,71.92307692307692,36
4,00:01:26.603,00:00:54.00,0.06,0,3,0:25:08  ,0:15:40  ,0:17:19  ,93.046875,174.0,68.7851174013704,--,--,73.11463414634146,2
5,00:05:49.254,00:05:49.00,0.52,33,33,0:11:15  ,0:11:15  ,0:07:12  ,175.046875,188.0,81.6414975296197,--,--,73.89512893982808,52
6,00:01:34.292,00:01:33.00,0.07,0,3,0:23:52  ,0:23:31  ,0:16:31  ,66.453125,180.0,101.52891647358022,--,--,75.60645161290323,5
7,00:05:36.664,00:05:35.00,0.52,30,30,0:10:42  ,0:10:39  ,0:06:00  ,175.84375,195.0,85.4631364461332,--,--,76.78507462686568,59
8,00:04:04.761,00:02:30.00,0.13,0,7,0:31:45  ,0:19:27  ,0:09:56  ,52.546875,181.0,96.46519882666547,--,--,77.63577981651376,13
9,00:00:25.433,00:00:25.00,0.05,0,0,0:09:22  ,0:09:12  ,0:04:36  ,164.84375,207.0,104.20107041529046,--,--,78.80000000000001,4
10,00:02:01.516,00:00:36.00,0.05,0,0,0:37:31  ,0:11:06  ,0:09:06  ,41.96875,195.0,102.23781023463272,--,--,79.80000000000001,3
11,00:00:23.184,00:00:16.00,0.05,0,0,0:07:54  ,0:05:27  ,0:04:36  ,149.75,222.0,136.0791066752835,--,--,80.6,4
12,00:03:13.871,00:01:06.00,0.09,3,7,0:36:33  ,0:12:26  ,0:06:37  ,35.859375,222.0,122.7774097377361,--,--,80.34883720930233,5
13,00:00:22.274,00:00:21.00,0.05,0,0,0:07:42  ,0:07:16  ,0:04:01  ,161.125,218.0,129.53279370304753,--,--,80.6,5
14,00:04:17.164,00:03:32.00,0.15,3,7,0:29:15  ,0:24:07  ,0:06:38  ,50.8125,218.0,108.23021792860703,--,--,80.75714285714287,15
Summary,00:42:31.315,00:35:24.00,2.76,115,138,0:15:25  ,0:12:50  ,0:04:01  ,122.265625,222.0,91.3264858682832,--,--,75.88232065856528,249
