Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:00:28.258,00:00:27.00,0.12,10,7,0:04:02  ,0:03:51  ,0:03:15  ,207.609375,231.0,191.92634728306143,--,--,50.0,9
2,00:01:00.769,00:00:41.00,0.05,0,0,0:19:47  ,0:13:20  ,0:03:39  ,50.640625,217.0,160.71462446439796,--,--,49.1219512195122,4
3,00:00:30.210,00:00:29.00,0.11,10,3,0:04:25  ,0:04:14  ,0:03:33  ,165.265625,219.0,220.46300197563102,--,--,48.2,10
4,00:00:45.945,00:00:44.00,0.04,0,3,0:17:56  ,0:17:11  ,0:04:14  ,36.515625,192.0,245.6562346451332,--,--,48.2,4
5,00:00:29.331,00:00:26.00,0.12,3,3,0:04:06  ,0:03:38  ,0:03:37  ,131.96875,215.0,296.94827207120744,--,--,48.2,9
6,00:00:30.287,00:00:27.00,0.04,0,0,0:14:16  ,0:12:43  ,0:03:42  ,116.0625,208.0,97.17269517947643,--,--,48.2,3
7,00:00:30.562,00:00:30.00,0.12,7,0,0:04:19  ,0:04:14  ,0:03:47  ,177.359375,212.0,210.1704550908274,--,--,48.2,10
8,00:00:15.582,00:00:13.00,0.02,0,7,0:11:22  ,0:09:29  ,0:04:07  ,131.25,210.0,107.84604607806656,--,--,48.2,2
9,00:00:30.666,00:00:28.00,0.12,3,0,0:04:17  ,0:03:55  ,0:03:46  ,185.296875,212.0,202.24858258676534,--,--,48.2,10
10,00:10:05.405,00:08:39.00,0.49,3,13,0:20:31  ,0:17:35  ,0:03:53  ,66.671875,208.0,117.65434865080341,--,--,47.73953488372093,51
11,00:00:29.431,00:00:27.00,0.12,7,0,0:04:07  ,0:03:47  ,0:03:34  ,58.0625,212.0,671.649592905006,--,--,48.2,9
12,00:01:00.555,00:00:56.00,0.05,0,7,0:20:09  ,0:18:38  ,0:03:49  ,56.65625,210.0,140.94009178561396,--,--,47.55714285714286,5
13,00:00:29.747,00:00:25.00,0.11,10,0,0:04:28  ,0:03:45  ,0:03:38  ,183.34375,212.0,196.27327672525993,--,--,46.4,9
14,00:00:46.930,00:00:42.00,0.05,0,7,0:16:40  ,0:14:55  ,0:04:05  ,70.296875,212.0,137.3129905538646,--,--,46.4,4
15,00:00:30.128,00:00:27.00,0.12,10,3,0:04:12  ,0:03:46  ,0:03:42  ,149.703125,212.0,255.29816398076483,--,--,46.4,10
16,00:00:00.133,--,0,0,0,0:00:31  ,--,0:03:46  ,212.0,212.0,1455.5256245884862,--,--,--,0
17,00:00:30.938,00:00:28.00,0.03,0,3,0:18:16  ,0:16:32  ,0:03:49  ,89.328125,212.0,98.63102367543236,--,--,46.4,3
18,00:00:30.833,00:00:26.00,0.11,10,0,0:04:33  ,0:03:50  ,0:03:45  ,190.40625,212.0,185.48422460622538,--,--,46.4,10
19,00:10:03.580,00:09:29.00,0.46,3,10,0:22:04  ,0:20:49  ,0:04:07  ,57.109375,248.0,127.61329251373894,--,--,46.4,45
20,00:00:29.694,00:00:28.00,0.12,7,0,0:04:10  ,0:03:55  ,0:03:29  ,161.671875,219.0,238.90341400701703,--,--,46.4,10
21,00:01:00.624,00:00:37.00,0.05,0,7,0:20:27  ,0:12:29  ,0:04:00  ,70.5625,208.0,111.4923795446858,--,--,46.4,5
22,00:00:30.148,00:00:29.00,0.11,10,3,0:04:30  ,0:04:20  ,0:03:32  ,131.359375,215.0,271.7877562991883,--,--,46.4,9
23,00:00:45.292,00:00:37.00,0.05,0,7,0:16:05  ,0:13:08  ,0:04:10  ,55.90625,208.0,178.94985599299304,--,--,45.18378378378378,4
24,00:00:29.455,00:00:26.00,0.12,10,3,0:04:12  ,0:03:43  ,0:03:41  ,173.234375,217.0,220.545585530337,--,--,44.6,9
25,00:00:30.482,00:00:24.00,0.04,0,7,0:14:19  ,0:11:17  ,0:03:50  ,72.359375,215.0,155.191747195253,--,--,44.6,3
26,00:00:31.14,00:00:28.00,0.12,3,0,0:04:26  ,0:04:00  ,0:03:44  ,182.21875,212.0,199.06810288356857,--,--,44.6,10
27,00:00:17.692,00:00:15.00,0.02,0,3,0:11:58  ,0:10:08  ,0:04:09  ,97.875,208.0,137.38704002384992,--,--,44.6,2
28,00:00:30.207,00:00:29.00,0.12,0,0,0:04:12  ,0:04:02  ,0:03:40  ,174.09375,219.0,219.94922563873848,--,--,44.6,10
29,00:02:53.109,00:02:30.00,0.09,3,10,0:31:13  ,0:27:03  ,0:03:55  ,65.15625,219.0,79.10714869497434,--,--,42.99877300613497,8
Summary,00:37:27.07,00:35:07.00,3.11,108,105,0:12:02  ,0:11:17  ,0:03:15  ,82.1875,248.0,149.0473901522962,--,--,46.69319092122831,277
