Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:01:58.555,00:01:56.00,0.37,184,10,0:05:23  ,0:05:16  ,0:04:54  ,180.265625,196.0,165.7879957169022,--,--,50.64615384615385,43
2,00:00:34.170,00:00:31.00,0.13,3,0,0:04:30  ,0:04:05  ,0:04:15  ,198.765625,202.0,179.5630302161424,--,--,50.0,12
3,00:05:57.568,00:03:04.00,0.22,10,13,0:26:44  ,0:13:46  ,0:04:18  ,58.71875,200.0,102.448350796984,--,--,50.74659090909091,23
4,00:01:54.868,00:01:53.00,0.38,0,3,0:05:05  ,0:05:00  ,0:04:29  ,180.46875,196.0,175.0702035077052,--,--,49.76106194690266,41
5,00:00:31.838,00:00:31.00,0.13,20,7,0:04:09  ,0:04:02  ,0:03:48  ,203.0625,210.0,190.98532816113845,--,--,48.2,12
6,00:06:21.890,00:03:24.00,0.26,10,23,0:24:43  ,0:13:12  ,0:03:52  ,66.78125,212.0,97.4493561814234,--,--,49.576470588235296,25
7,00:01:52.161,00:01:49.00,0.37,10,10,0:05:03  ,0:04:54  ,0:04:41  ,181.203125,196.0,175.85284468087156,--,--,49.0256880733945,40
8,00:00:32.195,00:00:32.00,0.13,7,0,0:04:12  ,0:04:11  ,0:03:52  ,204.15625,210.0,187.14701373154898,--,--,48.2,12
9,00:06:14.452,00:02:36.00,0.21,10,20,0:29:58  ,0:12:29  ,0:03:56  ,52.859375,208.0,101.58893084627844,--,--,48.50648648648649,21
10,00:01:54.459,00:01:50.00,0.37,10,10,0:05:06  ,0:04:54  ,0:04:38  ,179.828125,197.0,175.03032793474813,--,--,49.13272727272727,41
11,00:00:31.557,00:00:31.00,0.13,10,3,0:04:08  ,0:04:04  ,0:03:51  ,201.9375,212.0,192.1211518310487,--,--,48.2,12
12,00:06:19.596,00:02:03.00,0.2,10,10,0:31:27  ,0:10:11  ,0:03:52  ,45.984375,210.0,111.23838433019402,--,--,45.99787234042553,20
13,00:01:53.515,00:01:52.00,0.37,10,13,0:05:05  ,0:05:01  ,0:04:50  ,175.75,194.0,180.02170883099905,--,--,46.464285714285715,41
14,00:00:30.205,00:00:29.00,0.12,16,0,0:04:07  ,0:03:58  ,0:03:14  ,202.328125,208.0,192.5181115492112,--,--,44.6,11
15,00:02:11.32,00:01:58.00,0.08,0,13,0:26:56  ,0:24:15  ,0:03:34  ,49.640625,208.0,120.34941287374359,--,--,44.39344262295082,8
Summary,00:39:18.63,00:25:42.00,3.46,308,135,0:11:21  ,0:07:25  ,0:03:14  ,95.609375,212.0,127.2060702644968,--,--,48.46717557251908,362
