Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:00:32.286,00:00:28.00,0.13,--,--,0:04:14  ,0:03:40  ,0:03:45  ,0.0,0.0,--,110.0,135.0,--,3
2,00:02:00.347,00:00:28.00,0.05,27,--,0:38:36  ,0:08:58  ,0:03:49  ,22.6875,161.0,183.777111557296,100.0,150.0,--,13
3,00:00:31.338,00:00:26.00,0.13,--,31,0:03:56  ,0:03:15  ,0:03:34  ,177.875,215.0,229.92524155777608,130.0,193.0,--,3
4,00:02:04.298,00:00:24.00,0.06,--,--,0:36:39  ,0:07:04  ,0:03:34  ,32.625,202.0,134.58202193042123,184.0,202.0,--,34
5,00:00:32.80,00:00:31.00,0.12,27,--,0:04:24  ,0:04:15  ,0:03:51  ,176.25,212.0,207.0143690734068,178.0,181.0,--,8
6,00:02:05.254,00:00:04.00,0.04,--,--,0:48:36  ,0:01:33  ,0:04:12  ,35.984375,208.0,92.06630163853852,150.0,182.0,--,27
7,00:00:32.342,00:00:30.00,0.13,--,30,0:04:11  ,0:03:52  ,0:03:44  ,183.125,209.0,210.03849808656972,160.0,178.0,--,7
8,00:02:19.286,00:00:05.00,0.06,11,--,0:39:06  ,0:01:24  ,0:03:46  ,24.625,208.0,167.09438540992872,130.0,179.0,--,21
9,00:00:33.59,00:00:30.00,0.12,--,--,0:04:27  ,0:04:02  ,0:04:00  ,176.0625,205.0,205.3552680958145,142.0,170.0,--,4
10,00:01:20.587,00:00:09.00,0.04,24,--,0:32:03  ,0:03:34  ,0:04:14  ,31.65625,204.0,158.5679975937026,145.0,172.0,--,16
Summary,00:12:30.877,00:03:35.00,0.89,88,60,0:14:07  ,0:04:02  ,0:03:34  ,56.25,215.0,202.57485475629395,142.0,202.0,--,136
