Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:00:31.524,00:00:31.00,0.12,--,31,0:04:33  ,0:04:29  ,0:03:43  ,169.09375,213.0,208.7416942741226,160.0,171.0,--,6
2,00:02:00.893,00:00:57.00,0.08,15,--,0:25:20  ,0:11:56  ,0:04:31  ,56.5625,195.0,112.34846672624754,152.0,177.0,--,27
3,00:00:33.449,00:00:29.00,0.13,--,--,0:04:23  ,0:03:48  ,0:03:38  ,180.703125,210.0,202.58294542497276,167.0,182.0,--,8
4,00:02:03.434,00:00:51.00,0.09,16,--,0:22:58  ,0:09:29  ,0:03:48  ,95.203125,188.0,73.59524676477028,148.0,185.0,--,27
5,00:00:32.880,00:00:32.00,0.11,--,28,0:04:46  ,0:04:38  ,0:03:51  ,181.03125,215.0,186.20005289043957,169.0,181.0,--,8
6,00:01:42.184,00:00:50.00,0.07,12,--,0:23:04  ,0:11:17  ,0:04:02  ,79.796875,205.0,87.47647250619633,155.0,182.0,--,24
7,00:00:33.561,--,0.01,--,--,1:13:18  ,--,0:23:00  ,25.4375,124.0,86.4464251657549,144.0,145.0,--,7
8,00:00:32.329,00:00:29.00,0.12,--,--,0:04:29  ,0:04:01  ,0:03:43  ,185.25,214.0,193.3361536514411,162.0,177.0,--,7
9,00:02:05.871,00:00:41.00,0.06,17,--,0:33:09  ,0:10:48  ,0:03:53  ,47.546875,209.0,102.10913772180118,137.0,179.0,--,20
10,00:00:31.205,00:00:28.00,0.12,--,--,0:04:30  ,0:04:03  ,0:03:51  ,182.09375,226.0,195.77858587709372,127.0,133.0,--,4
11,00:02:15.856,00:00:41.00,0.08,--,17,0:29:17  ,0:08:50  ,0:03:56  ,47.234375,219.0,116.34275585090738,80.0,139.0,--,7
12,00:00:32.363,00:00:28.00,0.12,--,10,0:04:28  ,0:03:52  ,0:03:47  ,186.453125,220.0,193.1197884225928,104.0,127.0,--,1
13,00:02:06.306,00:00:28.00,0.07,27,--,0:28:39  ,0:06:21  ,0:04:06  ,65.59375,198.0,85.65961551017067,107.0,128.0,--,11
14,00:00:31.994,00:00:31.00,0.11,--,28,0:04:55  ,0:04:46  ,0:04:02  ,181.78125,212.0,179.62109869157248,124.0,164.0,--,3
15,00:02:32.441,00:00:46.00,0.08,--,--,0:30:08  ,0:09:05  ,0:04:17  ,48.265625,212.0,110.62756869032313,161.0,170.0,--,36
16,00:00:29.439,00:00:28.00,0.12,26,--,0:04:03  ,0:03:51  ,0:03:28  ,172.59375,224.0,230.05766068709633,167.0,190.0,--,7
17,00:05:02.83,00:01:19.00,0.1,--,--,0:50:03  ,0:13:05  ,0:03:16  ,34.109375,224.0,94.33355608885714,152.0,194.0,--,66
Summary,00:24:37.812,00:10:29.00,1.59,112,114,0:15:28  ,0:06:35  ,0:03:16  ,75.71875,226.0,137.34176257116997,140.0,194.0,--,269
