Split,Time,Moving Time,Distance,Elevation Gain,Elev Loss,Avg Pace,Avg Moving Paces,Best Pace,Avg Run Cadence,Max Run Cadence,Avg Stride Length,Avg HR,Max HR,Avg Temperature,Calories
1,00:32.6,00:30.0,0.12,--,--,0:04:29,0:04:12,0:03:59,171.46875,222,209.0536806,148,184,--,5
2,00:58.4,00:24.0,0.04,--,--,0:24:10,0:09:55,0:04:04,30.3125,208,219.8069549,181,187,--,16
3,00:31.0,00:28.0,0.12,--,--,0:04:17,0:03:52,0:03:49,140,223,268.2204522,175,184,--,8
4,01:32.8,00:21.0,0.04,--,--,0:37:06,0:08:24,0:03:57,22.015625,223,197.0296571,157,184,--,22
5,00:32.0,00:30.0,0.12,--,--,0:04:21,0:04:05,0:03:37,146.75,217,251.8079122,181,209,--,8
6,01:30.0,00:35.0,0.05,--,8,0:28:54,0:11:14,0:03:58,18.140625,204,306.9266867,190,211,--,25
7,00:31.7,00:31.0,0.12,--,--,0:04:25,0:04:19,0:03:50,169.59375,213,214.5317253,190,200,--,9
8,01:35.9,00:24.0,0.05,9,--,0:30:06,0:07:31,0:04:03,27.734375,209,192.8057196,167,200,--,24
9,00:31.4,00:30.0,0.11,--,--,0:04:36,0:04:24,0:03:39,171.453125,222,203.9738537,177,194,--,7
10,01:34.0,00:15.0,0.06,--,--,0:28:02,0:04:31,0:03:58,27.109375,189,211.8278605,175,194,--,25
11,00:30.9,00:28.0,0.12,--,6,0:04:28,0:04:03,0:03:40,174.171875,209,206.8397631,169,191,--,7
12,05:01.4,02:01.0,0.22,5,--,0:22:48,0:09:09,0:04:06,52.375,209,134.6928298,144,195,--,55
13,00:32.0,00:28.0,0.12,--,--,0:04:18,0:03:46,0:03:51,171.375,218,217.8760465,158,186,--,5
14,01:31.7,00:23.0,0.05,--,--,0:30:41,0:07:42,0:03:52,43.96875,211,119.2743839,158,188,--,21
15,00:31.3,00:29.0,0.12,--,7,0:04:18,0:03:59,0:03:50,119,224,313.9384097,167,193,--,7
16,01:39.5,00:21.0,0.06,7,--,0:29:04,0:06:07,0:04:05,45.34375,224,122.1434637,166,196,--,25
17,00:31.9,00:30.0,0.12,--,--,0:04:22,0:04:06,0:03:37,172.90625,220,212.510725,157,178,--,6
18,01:32.9,00:10.0,0.05,--,--,0:33:52,0:03:38,0:04:04,25.640625,211,185.232222,180,188,--,26
19,00:31.7,00:30.0,0.12,--,--,0:04:30,0:04:15,0:03:42,168.21875,222,212.5143989,194,213,--,8
20,01:37.8,00:18.0,0.06,--,--,0:29:23,0:05:27,0:04:16,45.15625,210,121.2792061,186,213,--,27
21,00:30.4,00:26.0,0.12,--,--,0:04:21,0:03:43,0:03:44,226,254,163.6679223,187,196,--,8
22,01:43.3,00:04.0,0.06,--,8,0:29:56,0:01:09,0:03:56,27.09375,222,198.4287012,164,197,--,25
23,00:29.8,00:28.0,0.12,--,--,0:04:15,0:03:59,0:03:40,185.765625,226,203.5863846,166,194,--,6
24,00:22.9,00:18.0,0.03,--,--,0:13:33,0:10:38,0:03:49,87.546875,219,135.6107883,190,196,--,7
Summary,26:55.0,12:00.0,2.18,21,29,0:12:20,0:05:29,0:03:37,67.765625,254,192.5836834,167,213,--,382
Average,00:31.4,,,,,,,,,,,,,,
